speaker	start_sec	end_sec	transcription	entropy	type
P1	0.01	2.47	ikke så relevant lige nu, stadig lidt tidligere på	3.1699250014423126	turn
P2	1.82	4.44	Nej, det er der ikke. Der er lige to semester endnu.	3.277613436819116	turn
P1	3.52	3.91	Danske tekster af Nicolai Winther	2.3219280948873626	turn
P1	4.24	4.86	Ja.	0.0	backchannel
P1	5.41	7.88	Jeg synes du kunne... Det er meget sjovt ikke?	3.1699250014423126	turn
P2	7.93	8.52	Ja.	0.0	backchannel
P2	9.84	17.96	Ja, ej, man skal også lige... Ja, altså jeg tror, man skal søge lidt i forvejen, så lige et semester eller...	4.106603137064474	turn
P1	18.13	18.56	Danske tekster af Nicolai Winther	2.3219280948873626	turn
P1	18.82	19.4	Ja.	0.0	backchannel
P1	19.98	23.49	Har du også søgt grants?	2.3219280948873626	turn
P2	22.95	27.19	Det søgte jeg en del af.	2.584962500721156	turn
P1	26.77	28.69	Med nogle succes eller?	2.0	turn
P2	27.79	29.65	Jeg fik 20.000.	1.584962500721156	turn
P1	29.61	30.37	Ja.	0.0	backchannel
P2	29.75	40.47	fra Otto Mønsted. Jeg var lidt dogen med at søge, så jeg tror, jeg skal søge mere næste gang. Men ja, jeg tror, at Otto Mønsted er den store, det er den, der...	4.657882376868652	turn
P1	36.63	37.01		0.0	backchannel
P1	38.36	39.03		0.0	backchannel
P2	40.5	44.86	Det er nemt at få. Det tog studerende i hvert fald.	3.277613436819116	turn
P1	44.06	50.23	Er det sådan, at de har nogle krav til, hvad man skal lave? Eller er det bare, at man kan bare søge frit?	4.2626923908396215	turn
P2	50.44	82.34	Jeg kan ikke lige huske det. Jeg tror, det er noget med ingeniører eller sådan noget. Det er i hvert fald bare sådan en stor en, hvor det ligesom er forholdsvis nemt for DTU-studerende at få den, tror jeg. Og så søgte jeg også nogle få andre, som jeg så ikke fik. Og så tænkte jeg, at det er nok også nemmere at få grants, når man er på kandidaten. Så jeg regner med at søge en del flere. Når jeg skal ud og studere igen	5.776563557249454	turn
P1	82.63	92.4	Er det så af forskellige fonde, de har forskellige kriterier, eller de vil gerne hjælpe folk, der læser AI, eller folk, der læser sund, eller et eller andet?	4.164497779200462	turn
P2	92.42	101.92	Ja, det tror jeg. Der er nogle af dem, der er mere specifikke, men det plejer at være sådan noget med, at du skal være studerende på DTU, på kandidaten eller på bachelor.	4.657882376868652	turn
P1	102.45	103.09	Ja.	0.0	backchannel
P1	103.76	105.44	Åh, hvis det ikke sådan... Ja, okay.	2.807354922057605	turn
P2	105.72	106.32	Ja.	0.0	backchannel
P2	107.62	109.02	Hvad du arbejder som?	2.0	turn
P1	109.69	111.81	Lige nu så arbejder jeg bare i IKEA	3.0	turn
P2	111.81	112.78	Okay.	0.0	backchannel
P1	112.6	116.22	Så helt klassiske, bare sådan 10 timers job, ikke?	3.1699250014423126	turn
P2	113.11	113.77	Ja.	0.0	backchannel
P2	116.27	117.1	Ja.	0.0	backchannel
